 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
← VET INFO (pre-filled — do not edit),,,,,,,,← CALL OUTCOME (VA fills after each call) →,,,,,,← PRICE ENTRY — fill in prices collected. Leave blank if not given. →,,,,,,,,,,,,,,,,,,,,← FINAL →,,
#,Vet Name,Phone,Address,City,Zip,Vet Type,Hours,"Call
Status","No Prices
Reason","Accepting
New Patients","CareCredit
Accepted","Contact
Name",Call Notes,"Exam
Fee ($)","Vet Tech
Fee (S)","Rabies
($)","DHPP
($)","FVRCP
($)","FeLV
($)","Bordetella
($)","Canine Flu
($)","Lepto
($)","Vaccine Pkg
Dog ($)","Vaccine Pkg
Cat ($)","Spay
($)","Neuter
($)","Dental
Cleaning ($)","Dental No
Anesthesia ($)","X-Ray
($)","Bloodwork
($)","Anesthesia
($)","Emergency
Visit ($)","Urgent
Care ($)","Species
Seen",Notes,"Verified
by Susan"
1059,GreenTree Veterinary Service,(424) 253-4140,2801 Ocean Park Blvd Unit 2436,Santa Monica,90405,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,Modern Animal Santa Monica,(424) 581-1096,2828 Santa Monica Blvd,Santa Monica,90404,General Practice,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,Palms & Paws Veterinary Center,(866) 725-6729,1655 9th St,Santa Monica,90404,General Practice,"Monday: 8:00 AM – 4:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 12:00 PM
Thursday: 2:00 PM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,Santa Monica Pet Medical Center,(310) 393-8218,1534 14th St,Santa Monica,90404,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 7:30 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,Santa Monica Veterinary Group,(310) 477-4400,1708 17th St,Santa Monica,90404,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 8:00 PM
Wednesday: 8:00 AM – 8:00 PM
Thursday: 8:00 AM – 8:00 PM
Friday: 8:00 AM – 8:00 PM
Saturday: 8:00 AM – 8:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,Sevilla Veterinary Hospital,(310) 310-3704,2116 Main St,Santa Monica,90405,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,VCA Santa Monica Dog and Cat Hospital,(310) 453-5459,2010 Broadway,Santa Monica,90404,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,VCA Santa Monica Main Street Animal Hospital,(424) 430-3800,2671 Main St,Santa Monica,90405,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,VCA Wilshire Animal Hospital,(310) 828-4587,2421 Wilshire Blvd,Santa Monica,90403,General Practice,"Monday: 8:00 AM – 4:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,Cuyamaca Animal Hospital,(619) 448-0707,8802 Cuyamaca St,Santee,92071,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 9:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,Jamacha Pet Vets,(858) 437-8705,10152 Mission Gorge Rd,Santee,92071,General Practice,"Tuesday: 7:30 AM – 5:30 PM
Wednesday: 7:30 AM – 5:30 PM
Thursday: 7:30 AM – 5:30 PM
Friday: 7:30 AM – 5:30 PM
Saturday: 7:30 AM – 5:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,Mast Boulevard Pet Hospital,(619) 448-6490,9876 Magnolia Ave,Santee,92071,General Practice,"Tuesday: 8:00 AM – 7:00 PM
Wednesday: 8:00 AM – 7:00 PM
Thursday: 8:00 AM – 7:00 PM
Friday: 8:00 AM – 7:00 PM
Saturday: 8:00 AM – 7:00 PM
Sunday: 8:00 AM – 7:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,Santee Pet Hospital,(619) 449-4100,8936 Carlton Hills Blvd,Santee,92071,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,Los Alamitos Animal Hospital,(562) 431-6925,2365 Seal Beach Blvd #105,Seal Beach,90740,General Practice,"Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 5:30 PM
Sunday: 7:00 AM – 12:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,Ocean Veterinary Hospital,(562) 614-2019,12410 Seal Beach Blvd Ste A,Seal Beach,90740,General Practice,"Monday: 10:00 AM – 8:00 PM
Tuesday: 10:00 AM – 8:00 PM
Wednesday: 10:00 AM – 8:00 PM
Thursday: 10:00 AM – 8:00 PM
Friday: 10:00 AM – 8:00 PM
Saturday: 10:00 AM – 8:00 PM
Sunday: 10:00 AM – 8:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,Seal Beach Animal Hospital,(657) 341-4956,1190 PCH Suite D,Seal Beach,90740,General Practice,"Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 5:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 7:00 AM – 6:00 PM
Saturday: 7:00 AM – 5:00 PM
Sunday: 8:30 AM – 12:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,Blue Cross Veterinary Hospital,(562) 494-0975,2665 E Pacific Coast Hwy,Signal Hill,90755,General Practice,"Tuesday: 9:00 AM – 5:15 PM
Wednesday: 9:00 AM – 5:15 PM
Thursday: 9:00 AM – 5:15 PM
Friday: 9:00 AM – 5:15 PM
Saturday: 9:00 AM – 5:15 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,Signal Hill Pet Hospital,(562) 597-5533,3449 Pacific Coast Hwy,Signal Hill,90755,General Practice,"Monday: 9:00 AM – 2:00 PM
Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 6:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 7:00 AM – 6:00 PM
Saturday: 7:00 AM – 6:00 PM
Sunday: 8:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,American Veterinary Hospital of Simi Valley,(805) 581-9111,2109 Tapo St Suite 3,Simi Valley,93063,General Practice,"Monday: 8:00 AM – 5:30 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:30 AM – 6:00 PM
Saturday: 8:30 AM – 6:30 PM
Sunday: 8:30 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,Angeles Animal Hospital,(805) 527-6877,1778 E Los Angeles Ave,Simi Valley,93065,General Practice,"Tuesday: 7:00 AM – 7:00 PM
Wednesday: 7:00 AM – 7:00 PM
Thursday: 7:00 AM – 7:00 PM
Friday: 7:00 AM – 7:00 PM
Saturday: 7:00 AM – 7:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,Dr. Ron's Animal Hospital,(805) 306-0633,1376 Erringer Rd,Simi Valley,93065,General Practice,"Tuesday: 8:00 AM – 8:00 PM
Wednesday: 8:00 AM – 4:00 PM
Thursday: 8:00 AM – 8:00 PM
Friday: 8:00 AM – 4:00 PM
Saturday: 8:00 AM – 8:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,Mountain View Animal Hospital,(805) 351-2350,4288 E Los Angeles Ave Suite A,Simi Valley,93063,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Pet Pawz-itive,(844) 469-7299,1925 Erringer Rd,Simi Valley,93065,General Practice,"Tuesday: 9:00 AM – 7:00 PM
Wednesday: 9:00 AM – 7:00 PM
Thursday: 9:00 AM – 7:00 PM
Friday: 9:00 AM – 7:00 PM
Saturday: 9:00 AM – 7:00 PM
Sunday: 10:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,Rancho Sequoia Veterinary Hospital,(805) 522-7476,3380 E Los Angeles Ave,Simi Valley,93063,General Practice,"Tuesday: 8:30 AM – 1:00 PM
Tuesday: 2:00 PM – 6:00 PM
Wednesday: 8:30 AM – 1:00 PM
Wednesday: 2:00 PM – 6:00 PM
Thursday: 8:30 AM – 1:00 PM
Thursday: 2:00 PM – 6:00 PM
Friday: 8:30 AM – 1:00 PM
Saturday: 8:30 AM – 1:00 PM
Saturday: 2:00 PM – 6:00 PM
Sunday: 9:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,Simi Valley Animal Hospital,(805) 527-0042,1317 E Los Angeles Ave # A1,Simi Valley,93065,General Practice,"Tuesday: 8:00 AM – 4:00 PM
Wednesday: 8:00 AM – 4:00 PM
Thursday: 8:00 AM – 4:00 PM
Friday: 8:00 AM – 4:00 PM
Saturday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,Simi Valley Animal Urgent Care,(805) 537-1838,5105 E Los Angeles Ave Suite A,Simi Valley,93063,General Practice,"Monday: 4:00 PM – 11:00 PM
Tuesday: 4:00 PM – 11:00 PM
Wednesday: 4:00 PM – 11:00 PM
Thursday: 4:00 PM – 11:00 PM
Friday: 4:00 PM – 11:00 PM
Saturday: 4:00 PM – 11:00 PM
Sunday: 4:00 PM – 11:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,Simi Valley Non-Profit Spay and Neuter Clinic,(805) 584-3823,1659 E Los Angeles Ave,Simi Valley,93065,General Practice,"Wednesday: 8:00 AM – 2:30 PM
Thursday: 8:00 AM – 2:30 PM
Friday: 8:00 AM – 2:30 PM
Saturday: 8:00 AM – 2:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,Sycamore Veterinary Hospital,(805) 521-9091,2720 Cochran St Suite #100,Simi Valley,93065,General Practice,"Tuesday: 8:30 AM – 12:30 PM
Tuesday: 1:30 PM – 5:30 PM
Wednesday: 8:30 AM – 12:30 PM
Wednesday: 1:30 PM – 5:30 PM
Thursday: 8:30 AM – 12:30 PM
Thursday: 1:30 PM – 5:30 PM
Friday: 8:30 AM – 12:30 PM
Friday: 1:30 PM – 5:30 PM
Saturday: 8:30 AM – 12:30 PM
Saturday: 1:30 PM – 5:30 PM
Sunday: 9:00 AM – 12:30 PM
Sunday: 1:30 PM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1087,Valley Veterinary Clinic: Prater Lori DVM,(805) 526-0917,845 E Los Angeles Ave,Simi Valley,93065,General Practice,"Tuesday: 8:00 AM – 7:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 7:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,Wood Ranch Animal Hospital,(805) 209-4797,1308 Madera Rd Suite B2,Simi Valley,93065,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,Yosemite Pet Hospital,(805) 526-3455,5918 E Los Angeles Ave,Simi Valley,93063,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,Academy Animal Hospital,(858) 755-1511,741 Academy Dr,Solana Beach,92075,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:30 AM – 4:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,"Dr. Meghan McIntosh, VMD, at Rancho Santa Fe Veterinary Hospital of Solana Beach",(858) 759-8797,971 Lomas Santa Fe Dr,Solana Beach,92075,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,Healing Hope,(877) 738-4673,511 S Cedros Ave,Solana Beach,92075,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,Hollydale Veterinary Hospital,(562) 862-2159,11205 Garfield Ave,South Gate,90280,General Practice,"Tuesday: 9:00 AM – 12:00 PM
Tuesday: 2:00 PM – 5:00 PM
Wednesday: 9:00 AM – 12:00 PM
Wednesday: 2:00 PM – 5:00 PM
Thursday: 9:00 AM – 12:00 PM
Thursday: 2:00 PM – 5:00 PM
Saturday: 9:00 AM – 12:00 PM
Saturday: 2:00 PM – 5:00 PM
Sunday: 9:00 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,South Gate Dog - Cat Hospital,(323) 564-6913,3737 Tweedy Blvd,South Gate,90280,General Practice,"Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 5:30 PM
Sunday: 8:00 AM – 12:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,Stewart W H DVM,(323) 569-1122,3737 Tweedy Blvd,South Gate,90280,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,Humane Vet Hospital of San Diego,(619) 475-3000,8360 Paradise Valley Rd,Spring Valley,91977,General Practice,"Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 5:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,Spring Valley Animal Med Hospital,(619) 464-5125,704 Grand Ave,Spring Valley,91977,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,Spring Valley Veterinary Clinic,(619) 660-1114,9973 Campo Rd,Spring Valley,91977,General Practice,"Tuesday: 8:30 AM – 5:00 PM
Wednesday: 8:30 AM – 5:00 PM
Thursday: 8:30 AM – 5:00 PM
Friday: 8:30 AM – 5:00 PM
Saturday: 8:30 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,AnimAid Pet Hospital,(714) 897-7899,7080 Katella Ave,Stanton,90680,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 9:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,Area Veterinarians,(714) 439-5992,8210 Monroe Ave,Stanton,90680,General Practice,"Tuesday: 9:00 AM – 1:00 PM
Tuesday: 2:00 PM – 6:00 PM
Wednesday: 9:00 AM – 1:00 PM
Wednesday: 2:00 PM – 6:00 PM
Thursday: 9:00 AM – 1:00 PM
Thursday: 2:00 PM – 6:00 PM
Friday: 9:00 AM – 1:00 PM
Friday: 2:00 PM – 6:00 PM
Saturday: 9:00 AM – 1:00 PM
Saturday: 2:00 PM – 6:00 PM
Sunday: 9:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,Stanton Pet Hospital,(714) 828-5891,8591 Katella Ave,Stanton,90680,General Practice,"Tuesday: 9:00 AM – 1:00 PM
Tuesday: 2:00 PM – 6:00 PM
Wednesday: 9:00 AM – 1:00 PM
Wednesday: 2:00 PM – 6:00 PM
Thursday: 9:00 AM – 1:00 PM
Thursday: 2:00 PM – 6:00 PM
Friday: 9:00 AM – 1:00 PM
Friday: 2:00 PM – 6:00 PM
Saturday: 9:00 AM – 1:00 PM
Saturday: 2:00 PM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,Zambrano Consult Mobile Service,(714) 254-7974,10550 Western Ave,Stanton,90680,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,Animal Hospital of Temecula,(951) 676-6488,41915 Motor Car Pkwy STE I,Temecula,92591,General Practice,"Monday: 9:00 AM – 5:00 PM
Tuesday: 9:00 AM – 12:00 PM
Wednesday: 9:00 AM – 12:00 PM
Thursday: 9:00 AM – 12:00 PM
Friday: 9:00 AM – 12:00 PM
Saturday: 9:00 AM – 12:00 PM
Sunday: 9:00 AM – 12:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,Butterfield Animal Hospital,(951) 303-8260,33449 Temecula Pkwy,Temecula,92592,General Practice,"Tuesday: 8:00 AM – 8:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 8:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,Care Animal Hospital & Urgent Care,(951) 676-4690,29738 Rancho California Rd suite # a,Temecula,92591,General Practice,"Monday: 8:00 AM – 10:00 PM
Tuesday: 8:00 AM – 10:00 PM
Wednesday: 8:00 AM – 10:00 PM
Thursday: 8:00 AM – 10:00 PM
Friday: 8:00 AM – 10:00 PM
Saturday: 8:00 AM – 10:00 PM
Sunday: 8:00 AM – 10:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,EPIC Vets,(951) 695-5044,27727 Jefferson Ave Suite #105,Temecula,92590,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,South Temecula Veterinary Hospital,(951) 302-7595,32844 Wolf Store Rd,Temecula,92592,General Practice,"Monday: 8:00 AM – 4:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,Temecula Creek Veterinary,(951) 395-0398,32819 Temecula Pkwy #A,Temecula,92592,General Practice,"Tuesday: 8:00 AM – 4:30 PM
Wednesday: 8:00 AM – 4:30 PM
Thursday: 8:00 AM – 4:30 PM
Friday: 8:00 AM – 4:30 PM
Saturday: 8:00 AM – 4:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,Vail Ranch Veterinary Hospital,(951) 302-9111,31685 Temecula Pkwy STE A,Temecula,92592,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,VCA El Rancho Animal Hospital,(951) 296-3898,41670 Winchester Rd Suite B,Temecula,92590,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,VCA Pet Medical Center,(951) 676-3531,40150 Winchester Rd STE 4,Temecula,92591,General Practice,"Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 6:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 7:00 AM – 6:00 PM
Saturday: 7:00 AM – 6:00 PM
Sunday: 7:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,Vineyard Veterinary Hospital,(951) 344-0881,30680 Rancho California Rd M-5,Temecula,92591,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,Zen Dog Holistic Mobile Veterinary Care,(951) 409-5727,Grand Ave,Temecula,92590,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,VCA Community Companion Animal Hospital,(626) 287-0527,5271 Sereno Dr,Temple City,91780,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,Animal Clinic of the Oaks,(805) 496-1122,575 E Thousand Oaks Blvd,Thousand Oaks,91360,General Practice,"Tuesday: 8:00 AM – 12:30 PM
Tuesday: 2:00 PM – 5:00 PM
Wednesday: 8:00 AM – 12:30 PM
Wednesday: 2:00 PM – 5:00 PM
Thursday: 8:00 AM – 12:30 PM
Thursday: 2:00 PM – 5:00 PM
Friday: 8:00 AM – 12:30 PM
Friday: 2:00 PM – 5:00 PM
Saturday: 8:00 AM – 12:30 PM
Saturday: 2:00 PM – 5:00 PM
Sunday: 9:00 AM – 12:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,Animal Hospital of Thousand Oaks,(805) 493-5540,1772 E Avenida De Los Arboles F,Thousand Oaks,91362,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,Borchard Veterinary Clinic,(805) 499-1977,2223 Michael Dr,Thousand Oaks,91320,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 8:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 8:00 AM – 8:00 PM
Saturday: 8:00 AM – 8:00 PM
Sunday: 9:00 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,Caring Hands Veterinary Hospital,(805) 492-4951,1020 E Avenida De Los Arboles,Thousand Oaks,91360,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,Conejo Valley Veterinary Hospital,(805) 495-4671,3580 Willow Ln,Thousand Oaks,91361,General Practice,"Monday: 7:00 AM – 6:00 PM
Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 6:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 7:00 AM – 6:00 PM
Saturday: 7:00 AM – 6:00 PM
Sunday: 7:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,Midtown Veterinary Clinic,(805) 257-1786,3333 Kimber Dr # D,Thousand Oaks,91320,General Practice,"Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 5:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,Newbury Park Veterinary Clinic,(805) 498-3684,1536 Newbury Rd Suite A,Thousand Oaks,91320,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
