NorCal + Central Valley VA Call & Price Log  —  1067 Vets  |  One row per vet. Fill in prices for each service collected.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
← VET INFO (pre-filled — do not edit),,,,,,,,← CALL OUTCOME (VA fills after each call) →,,,,,,← PRICE ENTRY — fill in prices collected. Leave blank if not given. →,,,,,,,,,,,,,,,,,,,,← FINAL →,,
#,Vet Name,Phone,Address,City,Zip,Vet Type,Hours,"Call
Status","No Prices
Reason","Accepting
New Patients","CareCredit
Accepted","Contact
Name",Call Notes,"Exam
Fee ($)","Vet Tech
Fee (S)","Rabies
($)","DHPP
($)","FVRCP(cat)
($)","FeLV(cat)
($)","Bordetella
($)","Canine Flu
($)","Lepto
($)","Vaccine Pkg
Dog ($)","Vaccine Pkg
Cat ($)","Spay
($)","Neuter
($)","Dental
Cleaning ($)","Dental No
Anesthesia ($)","X-Ray
($)","Bloodwork
($)","Anesthesia
($)","Emergency
Visit ($)","Urgent
Care ($)","Species
Seen",Notes,"Verified
by Susan"
865,Adobe Veterinary Hospital,(805) 237-0214,7625 Estrella Rd,San Miguel,93451,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,Evergreen Pet Clinic,(510) 215-9980,601 San Pablo Towne Center,San Pablo,94806,General Practice,"Monday: 8:30 AM – 6:00 PM
Tuesday: 8:30 AM – 6:00 PM
Wednesday: 8:30 AM – 6:00 PM
Thursday: 8:30 AM – 6:00 PM
Friday: 8:30 AM – 6:00 PM
Saturday: 8:30 AM – 6:00 PM
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,Animal Medical Center San Rafael,(415) 499-8387,4140 Redwood Hwy,San Rafael,94903,General Practice,"Monday: 9:00 AM – 6:00 PM
Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,East San Rafael Veterinary Clinic,(415) 456-4463,820 D St,San Rafael,94901,General Practice,"Monday: 7:30 AM – 6:00 PM
Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 8:00 AM – 3:00 PM
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,"Golden Gate Veterinary Specialists - Veterinary Dermatology, Surgery, Oncology and Internal Medicine",(415) 726-2458,4460 Redwood Hwy Suite 11,San Rafael,94903,General Practice,"Monday: 8:30 AM – 5:30 PM
Tuesday: 8:30 AM – 5:30 PM
Wednesday: 8:30 AM – 5:30 PM
Thursday: 8:30 AM – 5:30 PM
Friday: 8:30 AM – 5:30 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,Holistic Animal Clinic,(415) 233-8348,1660 Second St,San Rafael,94901,General Practice,"Monday: Closed
Tuesday: Closed
Wednesday: 10:00 AM – 6:00 PM
Thursday: Closed
Friday: Closed
Saturday: 10:00 AM – 5:00 PM
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,Marin Pet Hospital,(415) 454-4414,840 Francisco Blvd W,San Rafael,94901,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,Pet Emergency & Specialty Center of Marin,(415) 456-7372,1 Thorndale Dr,San Rafael,94903,General Practice,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,San Anselmo Animal Hospital,(415) 453-2080,2060 4th St,San Rafael,94901,General Practice,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 9:00 AM – 2:00 PM
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,San Rafael Animal Hospital,(415) 453-2004,419 Irwin St,San Rafael,94901,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 3:00 PM
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,Tails of Terra Linda Pet Resort,(415) 785-4987,4232 Redwood Hwy,San Rafael,94903,General Practice,"Monday: 7:00 AM – 7:00 PM
Tuesday: 7:00 AM – 7:00 PM
Wednesday: 7:00 AM – 7:00 PM
Thursday: 7:00 AM – 7:00 PM
Friday: 7:00 AM – 7:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Terra Linda Veterinary Hospital,(415) 479-8535,4230 Redwood Hwy,San Rafael,94903,General Practice,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,VCA Animal Wellness Center of Marin,(415) 456-4471,506 4th St,San Rafael,94901,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,West End Animal Center,(415) 721-7494,1660 Second St,San Rafael,94901,General Practice,"Monday: 8:00 AM – 5:30 PM
Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 2:00 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,ABC Pet Clinic,(925) 855-8195,2259 San Ramon Valley Blvd,San Ramon,94583,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 9:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,Bishop Ranch Veterinary Center & Urgent Care,(925) 866-8387,2000 Bishop Dr,San Ramon,94583,General Practice,"Tuesday: 6:30 AM – 9:00 PM
Wednesday: 6:30 AM – 9:00 PM
Thursday: 6:30 AM – 9:00 PM
Friday: 6:30 AM – 9:00 PM
Saturday: 6:30 AM – 9:00 PM
Sunday: 7:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,Bollinger Canyon Animal Hospital,(925) 866-8500,400 Montgomery St,San Ramon,94583,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,Gateway Pet Hospital,(925) 560-9622,21001 San Ramon Valley Blvd Suite A2,San Ramon,94583,General Practice,"Tuesday: 8:00 AM – 4:30 PM
Wednesday: 8:00 AM – 4:30 PM
Thursday: 8:00 AM – 4:30 PM
Friday: 8:00 AM – 4:30 PM
Saturday: 8:00 AM – 4:30 PM
Sunday: 10:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,Pet Care Depot,(925) 328-0372,2004 Bishop Dr,San Ramon,94583,General Practice,"Monday: 10:00 AM – 4:00 PM
Tuesday: 9:00 AM – 7:00 PM
Wednesday: 9:00 AM – 7:00 PM
Thursday: 9:00 AM – 7:00 PM
Friday: 9:00 AM – 7:00 PM
Saturday: 9:00 AM – 7:00 PM
Sunday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,San Ramon Veterinary Hospital,(925) 837-0526,2480 San Ramon Valley Blvd,San Ramon,94583,General Practice,"Tuesday: 7:30 AM – 7:00 PM
Wednesday: 7:30 AM – 7:00 PM
Thursday: 7:30 AM – 7:00 PM
Friday: 7:30 AM – 7:00 PM
Saturday: 7:30 AM – 7:00 PM
Sunday: 8:30 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,Animal Hospital Santa Fe,(562) 926-8060,13451 Rosecrans Ave,Santa Fe Springs,90670,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,Ohana Pet Hospital of Santa Paula,(805) 946-2308,957 Faulkner Rd # 101,Santa Paula,93060,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Alderbrook Pet Hospital,(707) 542-7387,1533 4th St,Santa Rosa,95404,General Practice,"Monday: 8:30 AM – 5:30 PM
Tuesday: 8:30 AM – 5:30 PM
Wednesday: 8:30 AM – 5:30 PM
Thursday: 8:30 AM – 5:30 PM
Friday: 8:30 AM – 5:30 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,All Tails Wagging Veterinary Clinic,(707) 525-9445,4750 Hoen Ave Ste A,Santa Rosa,95405,General Practice,"Monday: 9:00 AM – 5:00 PM
Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,Canyon Large Animal Clinic,(707) 792-4335,4901 Sunland Ave,Santa Rosa,95407,General Practice,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,Community Veterinary Clinic,(707) 284-1198,5345 Highway 12 West,Santa Rosa,95407,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Heritage Veterinary Hospital,(707) 576-0764,1425 W Steele Ln,Santa Rosa,95403,General Practice,"Monday: 8:00 AM – 5:30 PM
Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Laguna Veterinary Hospital,(707) 528-1448,5341 CA-12,Santa Rosa,95407,General Practice,"Monday: 8:30 AM – 4:00 PM
Tuesday: 8:30 AM – 4:00 PM
Wednesday: 8:30 AM – 4:00 PM
Thursday: 8:30 AM – 4:00 PM
Friday: 8:30 AM – 4:00 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Lakeside Pet Hospital,(707) 539-3393,4331 Montgomery Dr,Santa Rosa,95405,General Practice,"Monday: 9:00 AM – 6:00 PM
Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 AM
Saturday: 9:00 AM – 12:00 PM
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,Low Cost Spay/Neuter Clinic,(707) 284-3499,5345 Highway 12 West,Santa Rosa,95407,General Practice,"Monday: 9:00 AM – 5:00 PM
Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,Montgomery Village Veterinary Clinic,(707) 527-9330,4735 Sonoma Hwy,Santa Rosa,95405,General Practice,"Monday: 9:00 AM – 5:00 PM
Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Northtown Guardian Pet Hospital,(707) 546-6355,3881 Old Redwood Hwy,Santa Rosa,95403,General Practice,"Monday: 7:30 AM – 6:00 PM
Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 8:00 AM – 5:30 PM
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,Redwood Veterinary Clinic,(707) 542-4012,1946 Santa Rosa Ave,Santa Rosa,95407,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 12:00 PM
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,Russian River Veterinary Surgical Service,(707) 909-7420,730 Bennett Valley Rd,Santa Rosa,95404,General Practice,"Monday: 7:00 AM – 6:00 PM
Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 6:00 PM
Thursday: Closed
Friday: Closed
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Santa Rosa Veterinary Hospital,(707) 890-6082,2002 4th St,Santa Rosa,95404,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,VCA Devotion Animal Hospital,(707) 546-1277,4382 Occidental Rd,Santa Rosa,95401,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,VCA PetCare East Veterinary Hospital,(707) 579-3900,2425 Mendocino Ave,Santa Rosa,95403,General Practice,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,VCA PetCare West Veterinary Hospital,(707) 579-5900,1370 Fulton Rd,Santa Rosa,95401,General Practice,"Monday: 7:00 AM – 6:00 PM
Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 6:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 7:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,VCA Sequoia Valley Animal Hospital,(707) 545-7387,604 Elsa Dr,Santa Rosa,95407,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,VCA Westside Animal Hospital,(707) 545-1622,900 Fresno Ave,Santa Rosa,95407,General Practice,"Monday: Closed
Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 4:00 PM
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,VCA Windsor Animal Hospital,(707) 838-3031,6422 Old Redwood Hwy,Santa Rosa,95403,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,Veterinary Medical Center of Santa Rosa,(707) 584-8273,4122 S Moorland Ave,Santa Rosa,95407,General Practice,"Monday: 9:00 AM – 5:00 PM
Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 4:30 PM
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,Wikiup Veterinary Hospital,(707) 573-8252,130 Wikiup Dr,Santa Rosa,95403,General Practice,"Monday: 8:00 AM – 5:30 PM
Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,Wise & Wonderful Integrative Veterinary Center,(707) 546-4646,2210 County Center Dr,Santa Rosa,95403,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 9:00 AM – 1:00 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,Apex Veterinary Specialists,(408) 214-1597,19100 Cox Ave,Saratoga,95070,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,Reed Animal Hospital Saratoga,(408) 647-2906,12840 Saratoga Sunnyvale Rd # 600,Saratoga,95070,General Practice,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 7:00 PM
Wednesday: 8:00 AM – 7:00 PM
Thursday: 8:00 AM – 7:00 PM
Friday: 8:00 AM – 7:00 PM
Saturday: 8:00 AM – 7:00 PM
Sunday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,Saratoga Veterinary Hospital,(408) 252-5252,12297 Saratoga Sunnyvale Rd #100,Saratoga,95070,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,Marin City Animal Hospital,(415) 855-0504,160 Donahue St Suite I,Sausalito,94965,General Practice,"Monday: 8:00 AM – 7:00 PM
Tuesday: 8:00 AM – 7:00 PM
Wednesday: 8:00 AM – 7:00 PM
Thursday: 8:00 AM – 7:00 PM
Friday: 8:00 AM – 7:00 PM
Saturday: 8:00 AM – 4:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,Sausalito Animal Hospital: Deiter Raymond L DVM,(415) 332-2212,1309 Bridgeway,Sausalito,94965,General Practice,"Monday: Closed
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 9:00 AM – 4:00 PM
Saturday: 8:00 AM – 1:00 PM
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,Analy Veterinary Hospital,(707) 823-7614,900 Gravenstein Hwy N,Sebastopol,95472,General Practice,"Monday: 8:00 AM – 5:30 PM
Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,Animal Hospital of Sebastopol,(707) 917-7793,1010 CA-116,Sebastopol,95472,General Practice,"Monday: 7:30 AM – 6:00 PM
Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 8:00 AM – 4:00 PM
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,"Animal Hospital of Sebastopol: Dr. Nicole Canon, DVM",(707) 823-3250,1010 Gravenstein Hwy S,Sebastopol,95472,General Practice,"Monday: 7:30 AM – 6:00 PM
Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 8:00 AM – 4:00 PM
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,Animal Kingdom Veterinary Hospital,(707) 823-5337,6742 Sebastopol Ave,Sebastopol,95472,General Practice,"Monday: 8:00 AM – 5:30 PM
Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,Gold Coast Equine,(707) 779-8129,4175 Hessel Rd,Sebastopol,95472,General Practice,"Monday: 9:00 AM – 5:00 PM
Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,VCA Forestville Animal Hospital,(707) 887-2261,5033 CA-116,Sebastopol,95472,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: Closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,Shasta Lake Veterinary Clinic,(530) 275-8871,4522 Shasta Dam Blvd,Shasta Lake,96019,General Practice,"Tuesday: 8:00 AM – 12:30 PM
Tuesday: 1:30 PM – 5:00 PM
Wednesday: 8:00 AM – 12:30 PM
Wednesday: 1:30 PM – 5:00 PM
Thursday: 8:00 AM – 12:30 PM
Thursday: 1:30 PM – 5:00 PM
Friday: 8:00 AM – 12:30 PM
Friday: 1:30 PM – 5:00 PM
Saturday: 8:00 AM – 12:30 PM
Saturday: 1:30 PM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,Shingle Springs Veterinary Clinic,(530) 677-0390,4211 Sunset Ln Ste 101,Shingle Springs,95682,General Practice,"Monday: 12:00 AM – 10:00 PM
Tuesday: 12:00 AM – 10:00 PM
Wednesday: 12:00 AM – 10:00 PM
Thursday: 12:00 AM – 10:00 PM
Friday: 12:00 AM – 10:00 PM
Saturday: 12:00 AM – 10:00 PM
Sunday: 12:00 AM – 10:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,Shingletown Animal Clinic,(530) 420-3822,7355 Black Butte Rd Bldg. #3,Shingletown,96088,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 8:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,Free Animal Doctor,(626) 325-6296,70 E Montecito Ave,Sierra Madre,91024,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,Humphrey Giacopuzzi & Associates Equine Hospital,(805) 386-4291,4774 Donlon Rd,Somis,93066,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,Somis Veterinary Hospital,(805) 386-4143,5375 Bell St,Somis,93066,General Practice,"Tuesday: 8:00 AM – 2:00 PM
Wednesday: 8:00 AM – 2:00 PM
Friday: 8:00 AM – 2:00 PM
Saturday: 8:00 AM – 2:00 PM
Sunday: 9:00 AM – 11:00 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,Alta Equine,(707) 593-6336,579 1st St W,Sonoma,95476,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,Arroyo Veterinary Hospital,(707) 996-1054,18501 CA-12,Sonoma,95476,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,Sonoma Valley Pet Clinic,(707) 938-8198,19275 Arnold Dr,Sonoma,95476,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,Sonoma Veterinary Clinic,(707) 938-4455,21003 Broadway,Sonoma,95476,General Practice,"Tuesday: 9:00 AM – 12:00 PM
Tuesday: 2:00 PM – 5:30 PM
Wednesday: 9:00 AM – 12:00 PM
Wednesday: 2:00 PM – 5:30 PM
Thursday: 9:00 AM – 12:00 PM
Thursday: 2:00 PM – 5:30 PM
Friday: 9:00 AM – 12:00 PM
Friday: 2:00 PM – 5:30 PM
Saturday: 9:00 AM – 12:00 PM
Saturday: 2:00 PM – 5:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
